post_id	listing_name	make	model	year	odometer	vin	condition	title_status	cylinders	crumb_area	crumb_subarea	price
6613128769		subaru	outback	2016	31600		excellent	clean		missoula		26200
6623564887		subaru	legacy	2013	60804		excellent	clean	4 cylinders	missoula		16500
6625711232		subaru	wrx	2003			good	parts only		missoula		1
6625870326		subaru		2004	150000		excellent	clean	8 cylinders	atlanta	atlanta	8250
6626439819		subaru	outback	2013	101400			clean	4 cylinders	minneapolis	anok/chis/isa	12900
6619782800				1991	180		excellent	clean	4 cylinders	minneapolis	ramsey co	5000
6626439368		subaru	impreza-outback	2007	128800			clean	4 cylinders	minneapolis	anok/chis/isa	5400
6617600986		subaru	wrx	2015	13500		excellent	clean	4 cylinders	minneapolis	hennepin co	30700
6626072311		subaru		2011	37000	JS2RF9A61B6110168	excellent	rebuilt	4 cylinders	minneapolis	hennepin co	7999
6626341948		subaru	legacy-outback	1999	157500		good	clean	4 cylinders	minneapolis	anok/chis/isa	3695
6626084911		subaru	crosstrek	2016	24000		excellent	rebuilt	4 cylinders	minneapolis	hennepin co	17550
6617908921		subaru	sti		3000		new	lien	4 cylinders	minneapolis	anok/chis/isa	36000
6626127480		subaru	sti-wrx	2002			good	clean	4 cylinders	minneapolis	ramsey co	13500
6625219010		subaru	wrx	2008	102000	JF1GE74628G514545	good	clean	4 cylinders	minneapolis	hennepin co	10500
6626366559		subaru	legacy	2002	168000			clean		minneapolis	hennepin co	1200
6624119951		subaru	wrx	2012	93000		good	clean	4 cylinders	minneapolis	dakota/scott	14990
6624271055		subaru	legacy	2013	50000		good	salvage	4 cylinders	minneapolis	dakota/scott	10900
6626439164		subaru	impreza	2007	123700			clean	4 cylinders	minneapolis	washington/WI	5900
6626542419		subaru	impreza-wrx	2008	179	JF1GE75638G515024	excellent	clean	4 cylinders	atlanta	atlanta	6900
6623957483		subaru	outback	2016				clean		atlanta	atlanta	28500
6617582617		subaru	outback	2006	35000		excellent	clean	6 cylinders	atlanta	otp east	12000
6621760221		subaru	outback	2001	168378			clean	4 cylinders	atlanta	atlanta	1500
6608149407				2001	205593		fair	clean	4 cylinders	minneapolis	hennepin co	1500
6625662562		subaru		2012	95000			clean		minneapolis	carv/sher/wri	10250
6626795683		subaru	forester	2007	149000		good	clean	4 cylinders	minneapolis	dakota/scott	5600
6619615099		subaru	impreza	2006	186000		good	salvage	4 cylinders	minneapolis	dakota/scott	3500
6623672168		subaru	forester	2005				clean		minneapolis	hennepin co	3100
6626232658		subaru	impreza-wrx	2002			fair	clean	4 cylinders	minneapolis	hennepin co	5000
6626064497		subaru	sti-wrx	2013	18000		excellent	lien	4 cylinders	minneapolis	hennepin co	30000
6626096311		subaru	legacy	2005	168000			clean	4 cylinders	minneapolis	anok/chis/isa	5000
6624352713		subaru	sti	2014			excellent	clean		minneapolis	ramsey co	25500
6620413453		subaru	impreza	1998	175000		fair	clean	4 cylinders	minneapolis	dakota/scott	1800
6625918096		subaru	impreza	2002	144459		good	clean	4 cylinders	atlanta	otp north	2700
6626420851		subaru	tribeca	2006		4S4WX86C764408725	excellent	clean	6 cylinders	atlanta	atlanta	4100
6623831834		subaru		2004				clean		atlanta	atlanta	800
6627261228		subaru	impreza-sti-wrx	2006	1		excellent	clean	4 cylinders	atlanta	otp east	8500
6626002558		subaru	outback	2014	33322		excellent	clean	4 cylinders	minneapolis	hennepin co	18500
6625096418		subaru	wrx	2016,2012,2002	176000		excellent	clean	6 cylinders	minneapolis	anok/chis/isa	6000
6624210607		subaru	forester	2016	35153	JF2SJADC7GH532732		clean		minneapolis	hennepin co	21045
6626227762				1992	162000		fair	clean	4 cylinders	minneapolis	dakota/scott	5500
6627504465		subaru	legacy	2010	64000		excellent	salvage	4 cylinders	minneapolis	hennepin co	7900
6624352681				2011			good	lien	4 cylinders	minneapolis	hennepin co	15000
6593388995		subaru		2006	149000		good	clean		minneapolis	anok/chis/isa	3700
6627302500		subaru	sti-wrx	2005	149000		good	clean	4 cylinders	atlanta	atlanta	13900
6626722272		subaru	forester	2017	13500	JF2SJAWC8HH457361	excellent	rebuilt	4 cylinders	atlanta	otp east	18999
6621568650		subaru	tribeca	2006	162551	4S4WX82C764424221	good	clean	6 cylinders	atlanta	otp north	4500
6625965806		subaru	forester	2009	166000		excellent	clean	4 cylinders	minneapolis	hennepin co	8000
6628234535		subaru	forester	2004	200000		excellent	clean	4 cylinders	minneapolis	ramsey co	750
6628258010		subaru	forester	2013	80000		good	rebuilt	4 cylinders	minneapolis	carv/sher/wri	13500
6621897720		subaru	outback	1997	179000		good	clean	4 cylinders	minneapolis	dakota/scott	1500
6628055700				2000				clean		minneapolis	dakota/scott	1000
6625612020		subaru	forester	2001	257			clean	4 cylinders	minneapolis	hennepin co	1250
6626149600		subaru	impreza	2002				lien	4 cylinders	minneapolis	dakota/scott	6350
6627997411		subaru	outback		183420	4S3BH675327605758	good	clean	4 cylinders	minneapolis	hennepin co	1700
6627417504		subaru	impreza	2010	112000		good	clean	4 cylinders	minneapolis	hennepin co	4950
6624380575		subaru		2005	90000			clean	4 cylinders	minneapolis	hennepin co	6200
6627368841		subaru	legacy	2009	92000	4S3BL616X97225617	excellent	clean	4 cylinders	minneapolis	anok/chis/isa	7000
6625000581		subaru	wrx	2003	194000		excellent	clean	6 cylinders	minneapolis	anok/chis/isa	4500
6627179991		subaru	outback	1998				clean		minneapolis	washington/WI	900
6628570038		subaru	forester	2004	164000		good	clean	4 cylinders	minneapolis	dakota/scott	2895
6627803333		subaru	baja	2003				clean		minneapolis	ramsey co	4900
6628417348		subaru	outback	2013	101400			clean	4 cylinders	minneapolis	anok/chis/isa	12900
6626059627				2002			excellent	clean	4 cylinders	minneapolis	hennepin co	12000
6625470098		subaru	tribeca	2006	115000		excellent	clean	6 cylinders	atlanta	otp north	8000
6626027879		subaru	impreza-sti-wrx	2007	126776	JF1GD76697L526164		clean	4 cylinders	atlanta	otp north	16990
6627172359		subaru	outback	2003	177573		good	clean	4 cylinders	atlanta	atlanta	2000
6626971123		subaru	legacy-outback				good	clean		missoula		1
6626000219		subaru	outback	2011	116000		excellent	rebuilt	4 cylinders	missoula		10500
6628201968		subaru	crosstrek	2016				clean		missoula		17000
6609948406		subaru	forester	2003	165000		good	clean	4 cylinders	missoula		3000
6628766624		subaru	wrx	2003			excellent	clean	4 cylinders	minneapolis	washington/WI	7250
6628008099		subaru	legacy	2004	180000		good	clean	4 cylinders	minneapolis	ramsey co	3000
6627522245		subaru	outback	2006	92298			clean		minneapolis	hennepin co	7250
6624095033		subaru	impreza-sti-wrx	2005	107000		excellent	clean	4 cylinders	minneapolis	ramsey co	15000
6628735828		subaru		1996				clean		minneapolis	hennepin co	3000
6628920379		subaru	impreza-wrx	2005	178036		good	clean	4 cylinders	minneapolis	anok/chis/isa	8000
6627935872		subaru	wrx	2004	132000		good	clean	4 cylinders	minneapolis	ramsey co	10750
6628659133		subaru	outback	2004	157700	4S3BH675547617283	good	clean	4 cylinders	minneapolis	hennepin co	2000
6629062606		subaru		1995,2015	88000		excellent	clean	4 cylinders	minneapolis	hennepin co	9500
6622971840		subaru	legacy	1998				clean		minneapolis	hennepin co	3000
6629658434		subaru		2002	104000			clean		minneapolis	hennepin co	8250
6629515305		subaru	outback	2000				clean		atlanta	otp north	2895
6624476033		subaru	forester	2003	205000	Avail on request	good	clean	4 cylinders	atlanta	otp north	2900
6629107932		subaru	brz	2014	39000		good	clean	4 cylinders	atlanta	otp west	15950
6628315935		subaru	legacy	2002	168000			clean		minneapolis	ramsey co	1000
6626705419		subaru	outback	2001	130868		fair	clean	4 cylinders	minneapolis	anok/chis/isa	975
6623932233		subaru	outback	2002			good	clean	6 cylinders	minneapolis	hennepin co	500
6627228834		subaru		2006				clean		minneapolis	hennepin co	2300
6622096790		subaru	outback	2015	39759		excellent	lien	4 cylinders	atlanta	atlanta	23900
6627815218		subaru	outback	2014			like new	clean	4 cylinders	atlanta	otp north	18500
6625608042		subaru	impreza	2009			excellent	clean	4 cylinders	atlanta	atlanta	7500
6628548124		subaru	baja		63000			missing		atlanta	otp north	5500
6629529986		subaru	impreza-outback	2007	127000		excellent	clean	4 cylinders	minneapolis	hennepin co	5900
6629897974		subaru	impreza	2007	126000			lien		minneapolis	hennepin co	2500
6628542336		subaru	outback	2007	130000		good	missing		minneapolis	ramsey co	1500
6630050806				2000				clean		minneapolis	hennepin co	3500
6630051472		subaru	outback	2008	127000		excellent	clean	4 cylinders	minneapolis	dakota/scott	6700
6627645334		subaru	impreza-sti-wrx	2008	54000			clean		minneapolis	hennepin co	20000
6627755809		subaru	impreza-outback	1998	200000		fair	clean	4 cylinders	minneapolis	hennepin co	1000
6626979420		subaru	outback	2005	190000		good	clean	4 cylinders	atlanta	atlanta	2000
6621673838		subaru	outback	2005	130000	4S4BP61C157313942	excellent	clean		atlanta	atlanta	4500
6622087742		subaru		1992	64000	KK4013035	excellent	clean	4 cylinders	atlanta	otp north	7750
